"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2021","40,093.5","40,573.4","41,125.0","39,449.1","0.15K","-1.18%"
"01/08/2021","40,573.4","39,429.5","41,226.2","37,951.6","0.31K","2.90%"
"01/07/2021","39,429.5","36,716.5","39,429.5","36,716.5","0.28K","7.39%"
"01/06/2021","36,716.5","33,942.1","36,716.5","33,808.0","0.29K","8.17%"
"01/05/2021","33,942.1","32,000.0","33,942.1","30,940.8","0.25K","6.14%"
"01/04/2021","31,977.3","33,015.3","33,225.9","30,246.4","0.35K","-3.14%"
"01/03/2021","33,015.3","32,196.7","34,270.2","32,196.7","0.29K","2.54%"
"01/02/2021","32,196.7","29,315.9","32,900.0","29,148.0","0.29K","9.83%"
"01/01/2021","29,315.9","28,959.1","29,328.2","28,959.1","0.08K","1.23%"
"12/31/2020","28,959.1","28,856.9","29,129.6","28,400.0","0.12K","0.35%"
"12/30/2020","28,856.9","27,390.0","28,856.9","27,390.0","0.14K","5.36%"
"12/29/2020","27,390.0","27,081.9","27,390.0","26,173.3","0.10K","1.14%"
"12/28/2020","27,081.9","26,272.1","27,365.5","26,272.1","0.11K","3.08%"
"12/27/2020","26,272.1","26,484.9","28,177.5","26,168.6","0.23K","-0.76%"
"12/26/2020","26,472.5","24,718.2","26,472.5","24,610.7","0.31K","7.10%"
"12/25/2020","24,718.2","23,729.4","24,718.2","23,545.6","0.16K","4.17%"
"12/24/2020","23,729.4","23,228.1","23,729.4","22,912.0","0.07K","2.16%"
"12/23/2020","23,228.1","23,830.0","23,830.0","23,228.1","0.16K","-2.53%"
"12/22/2020","23,830.0","22,750.4","23,830.0","22,626.8","0.11K","4.75%"
"12/21/2020","22,750.4","23,501.7","23,980.8","22,637.5","0.17K","-3.20%"
"12/20/2020","23,501.7","23,835.4","23,835.4","23,428.6","0.13K","-1.40%"
"12/19/2020","23,835.4","23,098.3","23,886.0","22,890.7","0.13K","3.19%"
"12/18/2020","23,098.3","22,792.0","23,233.5","22,450.0","0.16K","1.25%"
"12/17/2020","22,812.2","21,340.1","23,529.5","21,340.1","0.49K","6.90%"
"12/16/2020","21,340.1","19,421.4","21,340.1","19,348.0","0.28K","9.88%"
"12/15/2020","19,421.4","19,272.8","19,495.6","19,135.4","0.14K","0.77%"
"12/14/2020","19,272.8","19,165.3","19,272.8","19,073.8","0.07K","0.56%"
"12/13/2020","19,165.3","18,786.8","19,336.8","18,750.3","0.12K","2.01%"
"12/12/2020","18,786.8","18,028.2","18,823.0","18,028.2","0.10K","4.21%"
"12/11/2020","18,028.2","18,240.3","18,240.3","17,784.3","0.08K","-1.19%"
"12/10/2020","18,245.1","18,543.8","18,543.8","18,164.8","0.07K","-1.61%"
"12/09/2020","18,543.8","18,328.6","18,543.8","17,975.3","0.12K","1.17%"
"12/08/2020","18,328.6","19,172.7","19,209.2","18,328.6","0.14K","-4.40%"
"12/07/2020","19,172.7","19,359.4","19,359.4","19,017.3","0.08K","-0.96%"
"12/06/2020","19,359.4","19,140.6","19,359.4","19,055.0","0.07K","1.14%"
"12/05/2020","19,140.6","18,653.2","19,140.6","18,606.9","0.06K","2.61%"
"12/04/2020","18,653.2","19,418.3","19,418.3","18,653.2","0.13K","-3.94%"
"12/03/2020","19,418.3","19,201.4","19,422.2","18,961.2","0.12K","1.06%"
"12/02/2020","19,214.4","18,782.1","19,214.4","18,509.9","0.16K","2.30%"
"12/01/2020","18,782.1","19,667.3","19,667.3","18,782.1","0.33K","-4.50%"
"11/30/2020","19,667.3","18,182.3","19,667.3","18,182.3","0.26K","8.17%"
"11/29/2020","18,182.3","17,718.8","18,192.7","17,608.8","0.12K","2.60%"
"11/28/2020","17,720.8","17,135.0","17,801.7","16,900.8","0.12K","3.42%"
"11/27/2020","17,135.0","17,166.8","17,366.1","16,645.3","0.15K","-0.19%"
"11/26/2020","17,166.8","18,718.8","18,718.8","16,549.6","0.35K","-8.29%"
"11/25/2020","18,718.8","19,153.1","19,220.2","18,718.8","0.19K","-2.27%"
"11/24/2020","19,153.1","18,380.6","19,381.2","18,221.0","0.26K","4.20%"
"11/23/2020","18,380.6","18,435.4","18,700.7","18,266.7","0.14K","-0.30%"
"11/22/2020","18,435.4","18,699.9","18,699.9","18,083.4","0.17K","-1.41%"
"11/21/2020","18,699.9","18,662.5","18,771.6","18,517.7","0.18K","0.20%"
"11/20/2020","18,662.5","17,811.6","18,721.3","17,811.6","0.18K","4.78%"
"11/19/2020","17,811.6","17,775.6","18,001.6","17,479.1","0.14K","0.22%"
"11/18/2020","17,772.5","17,662.4","18,158.6","17,662.4","0.26K","0.62%"
"11/17/2020","17,662.4","16,705.6","17,662.4","16,657.0","0.23K","5.73%"
"11/16/2020","16,705.6","15,951.6","16,770.0","15,951.6","0.24K","4.73%"
